
"","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50","1:00-1:35","1:45-2:20","","ClSec","7:50-9:30","10:00-10:35","10:45-11:20","11:30-12:05","12:15-12:50",""
"","","","","","","","","","","","","","","","","","","","","","","","",""
"Monday","XII-A","-","S2","CHEMISTRY","BIOLOGY","PHYSICS","-","","XI-A","-","-","-","-","-","-","-","Monday","X-A","-","ENGLISH","BIOLOGY","MATH","PHYSICS","Monday"
"XII-C","-","BIOLOGY","CHEMISTRY","ENGLISH","S2","-","","XI-C","-","-","-","-","-","-","-","X-C","-","2ND LANG","ENGLISH","MATH","PHYSICS"
"XII-D","-","CHEMISTRY","ENGLISH","PHYSICS","S2","-","","XI-D","-","-","-","-","-","-","-","X-D","-","MATH","CHEMISTRY","PHYSICS","2ND LANG"
"XII-E","-","PHYSICS","CHEMISTRY","MATH","MATH","-","","XI-E","-","-","-","-","-","-","-","X-E","-","CHEMISTRY","ECO","MATH","ENGLISH"
"XII-F","-","CHEMISTRY","MATH","COMP SC","ENGLISH","-","","XI-F","-","-","-","-","-","-","-","X-F","-","CIVIC","2ND LANG","MTH","ENGLISH"
"XII-G","-","MATH","CHEMISTRY","COMP SC","PHYSICS","-","","XI-G","-","-","-","-","-","-","-","X-G","-","ECO","ENGLISH","2ND LANG","PHYSICS"
"XII-H","-","CHEMISTRY","PHYSICS","MATH","COMP SC","-","","XI-H","-","-","-","-","-","-","-","X-H","-","ENGLISH","CHEMISTRY","2ND LANG","ECO"
"XII-I","-","MATH","COMP SC","CHEMISTRY","ENGLISH","-","","XI-I","-","-","-","-","-","-","-","X-I","-","PHYSICS","ENGLISH","CHEMISTRY","ECO"
"XII-J","-","MATH","PHYSICS","CHEMISTRY","COMP SC","-","","XI-J","-","-","-","-","-","-","-","X-J","-","2ND LANG","HISTORY","ENGLISH","CIVIC"
"XII-K","-","S5","S3","S4","S2/APPLIED MATH","-","","XI-K","-","-","-","-","-","-","-","X-K","-","CIVIC","PHYSICS","2ND LANG","ECO"
"XII-L","-","PHYSICS","CHEMISTRY","MATH","ENGLISH","-","","XI-L","-","-","-","-","-","-","-","X-L","-","ENGLISH","ECO","CHEMISTRY","2ND LANG"
"XII-M","-","PHYSICS","ECO","ENGLISH","CHEMISTRY","-","","XI-M","-","-","-","-","-","-","-","X-M","-","CHEMISTRY","HISTORY","PHYSICS","MATH"
"XII-N","-","MATH","ECO","PHYSICS","ENGLISH","-","","XI-N","-","-","-","-","-","-","-","X-N","-","2ND LANG","ENGLISH","ECO","CIVIC"
"XII-O","-","ENGLISH","PHYSICS","CHEMISTRY","MATH","-","","XI-O","-","-","-","-","-","-","-","X-O","-","ENGLISH","CIVIC","MATH","2ND LANG"
